ID,Nome,Idade,Genero,Plano de Treino,Ativo
1,Joao,30,M,Musculacao,1
2,Maria,25,F,Cardio,1
3,Pedro,35,M,Musculacao,1
4,Ana,28,F,Musculacao,1
5,Thiago,25,M,Cardio,1
6,Catarina,25,M,Musculacao,1
8,Rodrigo,25,M,Cardio,1
9,Afonso,25,M,Fitness,1
10,Mateus,25,M,Fitnewss,1
5,Tomas,8,M,Taekwondo,1
5,Thiago34,25,M,Musc,1
5,Tooiii,34,F,POC,1
5,Thaggds,34,M,MUSC,1
5,TRTR,35,F,PORRADA,1
5,ERER,25,F,MUSC,1
5,sssss,23,M,EEEE,1
5,gggggggg,65,F,PPPPPPPPP,1
5,rtrtrt,23,M,wwww,1
5,ThiagoR,23,M,ERERERER,1
5,CATARINA,12,F,EMAGRECER,1
